,Unnamed: 0,number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,Unnamed: 0.1,distance,datetime,date,time,lat,lng
1093,3.0,108.0,dublin,AVONDALE ROAD,Avondale Road,"{'lat': 53.359405, 'lng': -6.276142}",FALSE,FALSE,40,24,16,OPEN,1619265303000,3.0,,,,,,
1094,4.0,56.0,dublin,MOUNT STREET LOWER,Mount Street Lower,"{'lat': 53.33796, 'lng': -6.24153}",FALSE,FALSE,40,27,13,OPEN,1619265158000,4.0,,,,,,
1095,5.0,6.0,dublin,CHRISTCHURCH PLACE,Christchurch Place,"{'lat': 53.343368, 'lng': -6.27012}",FALSE,FALSE,20,15,5,OPEN,1619265510000,5.0,,,,,,
1096,6.0,18.0,dublin,GRANTHAM STREET,Grantham Street,"{'lat': 53.334123, 'lng': -6.265436}",FALSE,FALSE,30,15,15,OPEN,1619265685000,6.0,,,,,,
1097,7.0,32.0,dublin,PEARSE STREET,Pearse Street,"{'lat': 53.344304, 'lng': -6.250427}",FALSE,FALSE,30,10,20,OPEN,1619265488000,7.0,,,,,,
1098,8.0,52.0,dublin,YORK STREET EAST,York Street East,"{'lat': 53.338755, 'lng': -6.262003}",FALSE,FALSE,32,18,14,OPEN,1619265692000,8.0,,,,,,
1099,9.0,48.0,dublin,EXCISE WALK,Excise Walk,"{'lat': 53.347777, 'lng': -6.244239}",FALSE,FALSE,40,22,18,OPEN,1619265220000,9.0,,,,,,
1100,10.0,13.0,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,"{'lat': 53.336074, 'lng': -6.252825}",FALSE,FALSE,30,26,4,OPEN,1619265513000,10.0,,,,,,
1101,11.0,43.0,dublin,PORTOBELLO ROAD,Portobello Road,"{'lat': 53.330091, 'lng': -6.268044}",FALSE,FALSE,30,9,21,OPEN,1619265567000,11.0,,,,,,
1102,12.0,31.0,dublin,PARNELL STREET,Parnell Street,"{'lat': 53.350929, 'lng': -6.265125}",FALSE,FALSE,20,11,9,OPEN,1619265678000,12.0,,,,,,
1103,13.0,98.0,dublin,FREDERICK STREET SOUTH,Frederick Street South,"{'lat': 53.341515, 'lng': -6.256853}",FALSE,FALSE,40,31,9,OPEN,1619265216000,13.0,,,,,,
1104,14.0,23.0,dublin,CUSTOM HOUSE,Custom House,"{'lat': 53.348279, 'lng': -6.254662}",FALSE,FALSE,30,24,6,OPEN,1619265449000,14.0,,,,,,
